SEASON,BASIN,NATURE,LAT,LON,WIND,DIST2LAND,STORM_SPEED,STORM_DIR,TD9636_STAGE
Summer,SI,TS,-28.6,58.8,43.0,866,17.0,185.0,2.0
Summer,SI,TS,-29.4,58.7,45.0,935,14.0,185.0,2.0
Summer,SI,TS,-13.4,124.7,30.0,140,11.0,270.0,1.0
Summer,SI,TS,-13.4,124.1,33.0,179,13.0,260.0,1.0
Summer,SI,TS,-13.6,123.4,35.0,224,15.0,255.0,1.0
Summer,SI,TS,-13.8,122.6,38.0,279,15.0,255.0,1.0
Summer,SI,TS,-13.9,121.9,40.0,310,13.0,255.0,2.0
Summer,SI,TS,-14.1,121.3,45.0,318,12.0,255.0,2.0
Summer,SI,TS,-14.3,120.7,50.0,341,12.0,250.0,2.0
Summer,SI,TS,-14.5,120.1,53.0,371,14.0,250.0,2.0
Summer,SI,TS,-14.7,119.3,55.0,418,17.0,250.0,2.0
Summer,SI,TS,-15.1,118.4,55.0,473,20.0,250.0,2.0
Summer,SI,TS,-15.4,117.4,55.0,554,20.0,250.0,2.0
Summer,SI,TS,-15.7,116.4,58.0,549,20.0,255.0,2.0
Summer,SI,TS,-15.9,115.4,60.0,543,19.0,260.0,2.0
Summer,SI,TS,-16.0,114.5,60.0,564,18.0,265.0,2.0
Summer,SI,TS,-16.1,113.6,60.0,600,18.0,265.0,2.0
Summer,SI,TS,-16.2,112.6,63.0,648,18.0,265.0,2.0
Summer,SI,TS,-16.2,111.7,65.0,681,16.0,260.0,4.0
Summer,SI,TS,-16.4,111.0,70.0,691,14.0,255.0,4.0
Summer,SI,TS,-16.6,110.4,75.0,702,14.0,255.0,4.0
Summer,SI,TS,-16.8,109.6,80.0,733,15.0,255.0,4.0
Summer,SI,TS,-17.0,108.8,85.0,772,15.0,255.0,4.0
Summer,SI,TS,-17.2,108.1,88.0,811,14.0,260.0,4.0
Summer,SI,TS,-17.3,107.4,90.0,861,14.0,255.0,4.0
Summer,SI,TS,-17.5,106.7,90.0,908,14.0,260.0,4.0
Summer,SI,TS,-17.6,105.9,90.0,974,14.0,265.0,4.0
Summer,SI,TS,-17.7,105.2,90.0,1033,14.0,265.0,4.0
Summer,SI,TS,-17.7,104.5,90.0,1096,14.0,265.0,4.0
Summer,SI,TS,-17.8,103.7,90.0,1163,14.0,260.0,4.0
Summer,SI,TS,-18.0,103.0,90.0,1218,13.0,255.0,4.0
Summer,SI,TS,-18.2,102.4,90.0,1266,12.0,245.0,4.0
Summer,SI,TS,-18.5,101.8,90.0,1310,12.0,240.0,4.0
Summer,SI,TS,-18.9,101.3,90.0,1343,12.0,235.0,4.0
Summer,SI,TS,-19.2,100.8,90.0,1382,11.0,230.0,4.0
Summer,SI,TS,-19.6,100.3,90.0,1419,11.0,230.0,4.0
Summer,SI,TS,-19.9,99.9,90.0,1450,12.0,225.0,4.0
Summer,SI,TS,-20.4,99.4,88.0,1488,13.0,225.0,4.0
Summer,SI,TS,-20.8,98.9,85.0,1530,16.0,235.0,4.0
Summer,SI,TS,-21.3,98.1,83.0,1603,18.0,235.0,4.0
Summer,SI,TS,-21.8,97.3,80.0,1670,19.0,240.0,4.0
Summer,SI,TS,-22.3,96.4,75.0,1749,18.0,240.0,4.0
Summer,SI,TS,-22.8,95.6,70.0,1820,16.0,235.0,4.0
Summer,SI,TS,-23.2,95.0,68.0,1874,14.0,225.0,4.0
Summer,SI,TS,-23.7,94.5,65.0,1911,12.0,220.0,4.0
Summer,SI,TS,-24.2,94.1,63.0,1940,12.0,215.0,4.0
Summer,SI,TS,-24.7,93.8,60.0,1961,13.0,205.0,2.0
Summer,SI,TS,-25.3,93.5,58.0,1981,14.0,200.0,2.0
Summer,SI,TS,-26.0,93.3,55.0,1992,16.0,195.0,2.0
Summer,SI,TS,-26.8,93.0,53.0,2015,17.0,195.0,2.0
Summer,SI,TS,-27.7,92.7,50.0,2042,18.0,205.0,2.0
Summer,SI,TS,-28.5,92.2,70.56,2092,17.0,190.0,2.0
Summer,SI,TS,-29.3,92.3,67.2,2087,15.0,170.0,2.0
Summer,SI,TS,-29.9,92.5,64.96000000000001,2074,12.0,160.0,2.0
Summer,SI,TS,-14.7,104.3,50.0,849,13.0,100.0,2.0
Summer,SI,TS,-14.7,105.1,50.0,829,15.0,85.0,2.0
Summer,SI,TS,-14.5,105.9,50.0,789,15.0,70.0,2.0
Summer,SI,TS,-14.2,106.6,50.0,739,15.0,65.0,2.0
Summer,SI,TS,-13.9,107.3,50.0,693,15.0,70.0,2.0
Summer,SI,TS,-13.7,108.1,50.0,661,15.0,80.0,2.0
Summer,SI,TS,-13.7,108.9,50.0,646,14.0,90.0,2.0
Summer,SI,TS,-13.7,109.6,50.0,627,14.0,100.0,2.0
Summer,SI,TS,-13.9,110.3,50.0,634,17.0,110.0,2.0
Summer,SI,TS,-14.3,111.2,50.0,663,19.0,120.0,2.0
Summer,SI,TS,-14.9,112.0,50.0,728,20.0,130.0,2.0
Summer,SI,TS,-15.6,112.7,55.0,698,18.0,145.0,2.0
Summer,SI,TS,-16.3,113.1,60.0,609,15.0,170.0,2.0
Summer,SI,TS,-17.1,113.0,60.0,541,16.0,205.0,2.0
Summer,SI,TS,-17.8,112.4,60.0,488,18.0,225.0,2.0
Summer,SI,TS,-18.4,111.7,58.0,459,19.0,230.0,2.0
Summer,SI,TS,-19.0,110.9,55.0,457,19.0,225.0,2.0
Summer,SI,TS,-19.7,110.3,53.0,456,19.0,220.0,2.0
Summer,SI,TS,-20.5,109.6,50.0,475,20.0,220.0,2.0
Summer,SI,TS,-21.2,108.9,50.0,509,19.0,225.0,2.0
Summer,SI,TS,-21.9,108.2,50.0,561,17.0,225.0,1.0
Summer,SI,TS,-22.4,107.6,45.0,616,13.0,225.0,1.0
Summer,SI,TS,-22.8,107.2,40.0,654,9.0,235.0,1.0
Summer,SI,TS,-22.9,106.8,35.0,692,8.0,250.0,1.0
Summer,SI,TS,-23.0,106.4,30.0,729,7.0,250.0,1.0
Summer,SI,TS,-23.2,106.1,33.6,754,7.0,240.0,1.0
Summer,SI,TS,-23.4,105.8,33.6,780,8.0,240.0,1.0
Summer,SI,TS,-23.6,105.3,31.360000000000003,827,10.0,250.0,1.0
Summer,SI,TS,-11.5,126.2,30.0,242,17.0,265.0,1.0
Summer,SI,TS,-11.7,125.3,30.0,199,17.0,260.0,1.0
Summer,SI,TS,-11.9,124.4,30.0,180,16.0,255.0,1.0
Summer,SI,TS,-12.0,123.7,33.0,179,14.0,260.0,1.0
Summer,SI,TS,-12.1,123.0,35.0,198,14.0,265.0,1.0
Summer,SI,TS,-12.2,122.3,35.0,240,14.0,265.0,1.0
Summer,SI,TS,-12.2,121.6,35.0,244,11.0,265.0,1.0
Summer,SI,TS,-12.3,121.2,38.0,236,8.0,260.0,1.0
Summer,SI,TS,-12.4,120.9,40.0,228,9.0,250.0,2.0
Summer,SI,TS,-12.5,120.4,43.0,246,10.0,245.0,2.0
Summer,SI,TS,-12.8,119.9,45.0,287,11.0,245.0,2.0
Summer,SI,TS,-13.0,119.4,48.0,325,11.0,240.0,2.0
